ordno,itcode,itunit,itqty,itrte,itamnt,bcamnt,itemdesc,ordte,ccode,refno,clsup,tramnt,name
190212,STAMPELBOW9008 ,NOS  ,50.0,12.7,635.0,635.0,"STAMPED ELBOW 90 DEGREE 8""",2019-06-06,02 ,                                                                                                                                                      ,CR00265,3865.0,CR DIE STAMPED PRODUCTS INC                                 
190212,STAMPELBOW9010 ,NOS  ,50.0,18.05,902.5,902.5,"STAMPED ELBOW 90 DEGREE 10""",2019-06-06,02 ,                                                                                                                                                      ,CR00265,3865.0,CR DIE STAMPED PRODUCTS INC                                 
190212,STAMPELBSR9006 ,NOS  ,50.0,7.9,395.0,395.0,"STAMPED ELBOW 90 DEGREE 6"" SHORT RADIUS",2019-06-06,02 ,                                                                                                                                                      ,CR00265,3865.0,CR DIE STAMPED PRODUCTS INC                                 
190212,STAMPELBSR9008 ,NOS  ,50.0,12.7,635.0,635.0,"STAMPED ELBOW 90 DEGREE 8"" SHORT RADIUS",2019-06-06,02 ,                                                                                                                                                      ,CR00265,3865.0,CR DIE STAMPED PRODUCTS INC                                 
190212,STAMPELSBR9010 ,NOS  ,50.0,18.05,902.5,902.5,"STAMPED ELBOW 90 DEGREE 10"" SHORT RADIUS",2019-06-06,02 ,                                                                                                                                                      ,CR00265,3865.0,CR DIE STAMPED PRODUCTS INC                                 
190213,STAMPELBOW4506 ,NOS  ,50.0,7.2,360.0,360.0,"STAMPED ELBOW 45° DEGREE 6""",2019-06-06,02 ,                                                                                                                                                      ,CR00265,4335.0,CR DIE STAMPED PRODUCTS INC                                 
190213,STAMPELBOW4508 ,NOS  ,50.0,8.7,435.0,435.0,"STAMPED ELBOW 45° DEGREE 8""",2019-06-06,02 ,                                                                                                                                                      ,CR00265,4335.0,CR DIE STAMPED PRODUCTS INC                                 
190213,STAMPELBOW4510 ,NOS  ,50.0,12.45,622.5,622.5,"STAMPED ELBOW 45° DEGREE 10""",2019-06-06,02 ,                                                                                                                                                      ,CR00265,4335.0,CR DIE STAMPED PRODUCTS INC                                 
190213,STAMPELBOW4512 ,NOS  ,50.0,15.0,750.0,750.0,"STAMPED ELBOW 45° DEGREE 12""",2019-06-06,02 ,                                                                                                                                                      ,CR00265,4335.0,CR DIE STAMPED PRODUCTS INC                                 
190213,STAMPELBSR4506 ,NOS  ,50.0,7.2,360.0,360.0,"STAMPED ELBOW 45 DEGREE 6"" SHORT RADIUS",2019-06-06,02 ,                                                                                                                                                      ,CR00265,4335.0,CR DIE STAMPED PRODUCTS INC                                 
170071,16FTBOXTRUCKRNT,NOS  ,1.0,500.0,500.0,500.0,16FT BOX TRUCK RENTAL,2017-03-02,02 ,                                                                                                                                                      ,CR00186,500.0,CR enterprice rental truck & car                            
170072,PKGBOX00281836 ,NOS  ,1500.0,2.519,3778.5,3778.5,BOX 28X18X36,2017-03-02,01 ,                                                                                                                                                      ,CR00120,3778.5,
170074,DAVIDCEPEDA001 ,NOS  ,1.0,450.0,450.0,450.0,MACHINE REPAIR,2017-03-03,02 ,                                                                                                                                                      ,CR00057,1132.0,
170074,DAVIDCEPEDA001 ,NOS  ,1.0,682.0,682.0,682.0,MACHINE REPAIR,2017-03-03,02 ,                                                                                                                                                      ,CR00057,1132.0,
170075,DBLPALMGLOVE02 ,DZN  ,36.0,23.0,828.0,828.0,DOUBLE PALM LEATHER GLOVE SMALL,2017-03-03,01 ,                                                                                                                                                      ,CR00175,828.0,
170076,U-BOLTFASTENER1,BOX  ,1000.0,0.18,180.0,180.0,U-BOLT FASTENERS,2017-03-03,02 ,                                                                                                                                                      ,CR00136,180.0,"CR Solar Supply, Inc                                        "
170073,MACHINEREPAIR00,.    ,1.0,2000.0,2000.0,2000.0,MACHINE REPAIR,2017-03-02,03 ,                                                                                                                                                      ,CR00188,2000.0,
180112,CONDUTE0000012 ,FEET ,3000.0,0.3363,1008.9,1008.9,"CONDUIT 1/2"" EMT",2018-03-30,02 ,                                                                                                                                                      ,CR00199,1008.9,CR City Electric Supply Houston                             
170234,VIBSENSESWITCH0,NOS  ,1.0,162.0,162.0,162.0,VIBRATION SENSE SWITCH - 17332,2017-06-05,02 ,                                                                                                                                                      ,CR00050,356.96,CR Coastal HVAC Supply ( Vendor )                           
180489,CANVASCONNECTN ,BOX  ,10.0,110.0,1100.0,1100.0,CANVAS CONNECTIONS DMVL333,2018-10-01,02 ,                                                                                                                                                      ,CR00050,1100.0,CR Coastal HVAC Supply ( Vendor )                           
180490,ULDUCTTAPEROLLS,BOX  ,5.0,213.0,1065.0,1065.0,UL LISTED DUCT TAPE ROLLS,2018-10-01,02 ,                                                                                                                                                      ,CR00272,3315.0,CR Win Supply Of Houston                                    
180490,HANGERSTRAP000 ,ROLL ,60.0,37.5,2250.0,2250.0,"1"" HANGER STRAP 22 GAUGE",2018-10-01,02 ,                                                                                                                                                      ,CR00272,3315.0,CR Win Supply Of Houston                                    
180517,SSSHEETS030424 ,NOS  ,5.0,100.8,504.0,504.0,STAINSTEEL SHEET 304 24Ga,2018-10-16,02 ,                                                                                                                                                      ,CR00178,693.7,CR CL ALLOYS                                                
180522,THERMAFLXMKE12 ,NOS  ,15.0,90.5,1357.5,1357.5,"THERMA FLEX MK E 12"" FLEX DUCT",2018-10-18,02 ,                                                                                                                                                      ,CR00050,1357.5,CR Coastal HVAC Supply ( Vendor )                           
170077,26FTBOXTRUCKREN,NOS  ,1.0,500.0,500.0,500.0,26` BOX TRUCK RENTAL,2017-03-06,02 ,                                                                                                                                                      ,CR00186,500.0,CR enterprice rental truck & car                            
170078,MOBILVACTRANO2 ,NOS  ,1.0,101.43,101.43,101.43,MOBIL VACTRA NO.2 5 GAIL,2017-03-06,01 ,                                                                                                                                                      ,CR00071,101.43,CR Grainger                                                 
170079,RIVETANVILA104 ,NOS  ,6.0,38.7,232.2,232.2,RIVET ANVIL  A-104,2017-03-06,01 ,                                                                                                                                                      ,CR00047,232.2,CR Chicago Rivet & Machine Co.                              
170080,MOBILUXEP00000 ,NOS  ,1.0,122.85,122.85,122.85,MOBILUX EP0 LITHIUM GREASE 5 GAL,2017-03-06,01 ,                                                                                                                                                      ,CR00190,122.85,CR J.A.M Exon Mobil                                         
180130,INSULATION0256 ,ROLLS,10.0,181.97,1819.7,1819.7,"INSULATION 2"" X 56.5"" X 50",2018-04-12,02 ,                                                                                                                                                      ,CR00136,1819.7,"CR Solar Supply, Inc                                        "
180131,FLEXDUCTR60008 ,NOS  ,5.0,23.01,115.05,115.05,"ATCO LFEX DUCT R6 8""",2018-04-12,02 ,                                                                                                                                                      ,CR00136,211.5,"CR Solar Supply, Inc                                        "
180131,FLEXDUCTR60006 ,NOS  ,5.0,19.29,96.45,96.45,"ATCO FLEX DUCR R6 6""",2018-04-12,02 ,                                                                                                                                                      ,CR00136,211.5,"CR Solar Supply, Inc                                        "
180132,TDCCORNER00001 ,BOX  ,15.0,77.5,1162.5,1162.5,TDF CORNER,2018-04-12,02 ,                                                                                                                                                      ,CR00050,1162.5,CR Coastal HVAC Supply ( Vendor )                           
180133,PLASTICBUSHING ,NOS  ,1000.0,0.15,150.0,150.0,3/8 Plastic Bushing BKP83,2018-04-12,02 ,                                                                                                                                                      ,CR00040,1380.0,"CR Cain Manufacturing Co.,Inc.                              "
180133,COLBUILDOUT238 ,NOS  ,1000.0,1.23,1230.0,1230.0,"2"" BUILD OUT 3/8  FOR SPIN COLLARS",2018-04-12,02 ,                                                                                                                                                      ,CR00040,1380.0,"CR Cain Manufacturing Co.,Inc.                              "
180134,PRESSONTAPWD14 ,NOS  ,10.0,13.69,136.9,136.9,"PRESS ON TAP FLANGE WITH DAMPER GASKET BUILT OUT 14""",2018-04-12,02 ,                                                                                                                                                      ,CR00192,513.0,
180134,PRESSONTAPWD12 ,NOS  ,10.0,11.53,115.3,115.3,"PRESS ON TAP FLANGE WITH DAMPER GASKET BUILT OUT 12""",2018-04-12,02 ,                                                                                                                                                      ,CR00192,513.0,
180134,PRESSONTAPWD10 ,NOS  ,10.0,10.22,102.2,102.2,"PRESS ON TAP FLANGE WITH DAMPER GASKET BUILT OUT 10""",2018-04-12,02 ,                                                                                                                                                      ,CR00192,513.0,
180134,PRESSONTAPWD08 ,NOS  ,10.0,8.25,82.5,82.5,"PRESS ON TAP FLANGE WITH DAMPER GASKET BUILT OUT 8""",2018-04-12,02 ,                                                                                                                                                      ,CR00192,513.0,
180134,PRESSONTAPWD06 ,NOS  ,10.0,7.61,76.1,76.1,"PRESS ON TAP FLANGE WITH DAMPER GASKET BUILT OUT 6""",2018-04-12,02 ,                                                                                                                                                      ,CR00192,513.0,
180135,GICOIL00000018 ,LBS  ,40000.0,0.581,23240.0,23240.0,GALVANIZED COIL 18 GAGE G90 AS PER ASTM 653,2018-04-12,02 ,                                                                                                                                                      ,CR00118,23240.0,
190215,TURNINGVAN00200,FEET ,3000.0,0.604,1812.0,1812.0,"Turning van 2""",2019-06-10,02 ,                                                                                                                                                      ,CR00272,2562.0,CR Win Supply Of Houston                                    
190215,PGSTANDINGS0000,FEET ,1500.0,0.5,750.0,750.0,PAINT GRIP STANDING S,2019-06-10,02 ,                                                                                                                                                      ,CR00272,2562.0,CR Win Supply Of Houston                                    
170082,GICOIL00000024 ,LBS  ,16000.0,0.5175,8280.0,8280.0,GI COIL 24 GAGE,2017-03-07,02 ,                                                                                                                                                      ,CR00055,32167.5,"CR Curtis Steel Company, Inc.                               "
170082,GICOIL00000026 ,LBS  ,16000.0,0.56,8960.0,8960.0,GALVANIZED COIL 26 GAGE G90 AS PER ASTM 653,2017-03-07,02 ,                                                                                                                                                      ,CR00055,32167.5,"CR Curtis Steel Company, Inc.                               "
170082,GICOIL00000022 ,LBS  ,10000.0,0.53,5300.0,5300.0,GI COIL 22 GAGE,2017-03-07,02 ,                                                                                                                                                      ,CR00055,32167.5,"CR Curtis Steel Company, Inc.                               "
170082,GICOIL00000020 ,LBS  ,9000.0,0.4925,4432.5,4432.5,GI COIL 20 GAGE,2017-03-07,02 ,                                                                                                                                                      ,CR00055,32167.5,"CR Curtis Steel Company, Inc.                               "
170082,GISLIT53940026 ,LBS  ,3500.0,0.58,2030.0,2030.0,GALVANIZED SLIT COIL 26GA - 5.394,2017-03-07,02 ,                                                                                                                                                      ,CR00055,32167.5,"CR Curtis Steel Company, Inc.                               "
