billtype_x,billno,itcode,itunit,itqty,itrte,itamnt,refno,billtype_y,billdate,ccode,clsup,slpucd,tramnt,refno_y,refdt,duedate,name,ortyp,ordte,OrderToPurchaseDays
PURC,200580,GICOIL00000026 ,LBS  ,8320.0,0.5575,4638.4,200426,PURC,2020-10-21,COMMERCIAL,CR00343,Purchase Duct - Commercial                                  ,12206.05,112450                   ,2020-10-21,2020-12-05,CR COMMERCIAL STEEL PRODUCT                                 ,P,2020-10-15,6.0
PURC,200580,GICOIL00000026 ,LBS  ,8340.0,0.5575,4649.55,200426,PURC,2020-10-21,COMMERCIAL,CR00343,Purchase Duct - Commercial                                  ,12206.05,112450                   ,2020-10-21,2020-12-05,CR COMMERCIAL STEEL PRODUCT                                 ,P,2020-10-15,6.0
PURC,200581,GIDUCTD6010006 ,FEET ,80.0,0.8266700000000001,66.134,200437,PURC,2020-10-21,COMMERCIAL,CR00050,Purchase Duct - Commercial                                  ,66.134,5628473                  ,2020-10-21,2020-11-20,CR Coastal HVAC Supply ( Vendor )                           ,P,2020-10-21,0.0
PURC,200582,INSUL000011247 ,ROLL ,20.0,110.46,2209.2,200412,PURC,2020-10-22,RESIDENTIAL,CR00136,Purchase Dusting - Residential                              ,2209.2,3642845                  ,2020-10-22,2020-11-21,"CR Solar Supply, Inc                                        ",P,2020-10-02,20.0
PURC,200583,INSUL000011235 ,ROLL ,20.0,82.55,1651.0,200412,PURC,2020-10-22,RESIDENTIAL,CR00136,Purchase Dusting - Residential                              ,1651.0,3642846                  ,2020-10-22,2020-11-21,"CR Solar Supply, Inc                                        ",P,2020-10-02,20.0
PURC,200590,DAMPERTPDHK102 ,NOS  ,10000.0,0.08,800.0,200465,PURC,2020-11-30,RESIDENTIAL,CR00040,Purchase Dusting - Residential                              ,3860.0,099531                   ,2020-11-30,2020-12-30,"CR Cain Manufacturing Co.,Inc.                              ",P,2020-11-19,11.0
PURC,200590,HANDLE00DHK705 ,NOS  ,10000.0,0.04,400.0,200465,PURC,2020-11-30,RESIDENTIAL,CR00040,Purchase Dusting - Residential                              ,3860.0,099531                   ,2020-11-30,2020-12-30,"CR Cain Manufacturing Co.,Inc.                              ",P,2020-11-19,11.0
PURC,200590,WASHER00DHK704 ,NOS  ,10000.0,0.016,160.0,200465,PURC,2020-11-30,RESIDENTIAL,CR00040,Purchase Dusting - Residential                              ,3860.0,099531                   ,2020-11-30,2020-12-30,"CR Cain Manufacturing Co.,Inc.                              ",P,2020-11-19,11.0
PURC,200590,WINGNUT0DHK706 ,NOS  ,10000.0,0.05,500.0,200465,PURC,2020-11-30,RESIDENTIAL,CR00040,Purchase Dusting - Residential                              ,3860.0,099531                   ,2020-11-30,2020-12-30,"CR Cain Manufacturing Co.,Inc.                              ",P,2020-11-19,11.0
PURC,200591,GICOIL00000024 ,LBS  ,7900.0,0.425,3357.5,200405,PURC,2020-11-20,COMMERCIAL,CR00270,Purchase Duct - Commercial                                  ,13476.75,029282                   ,2020-11-20,2021-01-19,CR Sumit Global                                             ,P,2020-09-29,52.0
PURC,200591,GICOIL00000024 ,LBS  ,8030.0,0.425,3412.75,200405,PURC,2020-11-20,COMMERCIAL,CR00270,Purchase Duct - Commercial                                  ,13476.75,029282                   ,2020-11-20,2021-01-19,CR Sumit Global                                             ,P,2020-09-29,52.0
PURC,200562,GICOIL00000024 ,LBS  ,7940.0,0.425,3374.5,200405,PURC,2020-10-14,COMMERCIAL,CR00270,Purchase Duct - Commercial                                  ,6753.25,028632                   ,2020-10-14,2020-12-13,CR Sumit Global                                             ,P,2020-09-29,15.0
PURC,200562,GICOIL00000024 ,LBS  ,7950.0,0.425,3378.75,200405,PURC,2020-10-14,COMMERCIAL,CR00270,Purchase Duct - Commercial                                  ,6753.25,028632                   ,2020-10-14,2020-12-13,CR Sumit Global                                             ,P,2020-09-29,15.0
PURC,200563,FLEXMSTER5M012 ,BOX  ,1.0,114.33,114.33,200422,PURC,2020-10-14,COMMERCIAL,CR00272,Purchase Duct - Commercial                                  ,114.33,07885102                 ,2020-10-16,2020-12-15,CR Win Supply Of Houston                                    ,P,2020-10-14,0.0
PURC,200564,NIPPLE34PFNC20 ,BOX  ,41.0,1.87,76.67,200429,PURC,2020-10-19,COMMERCIAL,CR00071,Purchase Duct - Commercial                                  ,233.87,9688554188               ,2020-10-19,2020-10-19,CR Grainger                                                 ,P,2020-10-16,3.0
PURC,200564,SSNIPPLE343040 ,NOS  ,20.0,7.86,157.2,200429,PURC,2020-10-19,COMMERCIAL,CR00071,Purchase Duct - Commercial                                  ,233.87,9688554188               ,2020-10-19,2020-10-19,CR Grainger                                                 ,P,2020-10-16,3.0
PURC,200565,NIPPLE34PFNC20 ,BOX  ,9.0,1.87,16.83,200429,PURC,2020-12-10,COMMERCIAL,CR00071,Purchase Duct - Commercial                                  ,16.83,9688554188               ,,2020-10-12,CR Grainger                                                 ,P,2020-10-16,55.0
PURC,200540,GICOIL00000028 ,LBS  ,8400.0,0.5045,4237.8,200058,PURC,2020-09-28,RESIDENTIAL,CR00270,Purchase Dusting - Residential                              ,4237.8,028390                   ,2020-09-28,2020-11-27,CR Sumit Global                                             ,P,2020-01-29,243.0
PURC,200541,GICOIL00000030 ,LBS  ,8818.0,0.5195,4580.951,200058,PURC,2020-09-28,RESIDENTIAL,CR00270,Purchase Dusting - Residential                              ,9168.136,028391                   ,2020-09-28,2020-11-27,CR Sumit Global                                             ,P,2020-01-29,243.0
PURC,200541,GICOIL00000030 ,LBS  ,8830.0,0.5195,4587.185,200058,PURC,2020-09-28,RESIDENTIAL,CR00270,Purchase Dusting - Residential                              ,9168.136,028391                   ,2020-09-28,2020-11-27,CR Sumit Global                                             ,P,2020-01-29,243.0
PURC,200508,GICOIL00000028 ,LBS  ,8417.0,0.5045,4246.377,200058,PURC,2020-09-14,RESIDENTIAL,CR00270,Purchase Dusting - Residential                              ,12710.072,028093                   ,2020-09-14,2020-11-13,CR Sumit Global                                             ,P,2020-01-29,229.0
PURC,200508,GICOIL00000030 ,LBS  ,8179.0,0.5195,4248.991,200058,PURC,2020-09-14,RESIDENTIAL,CR00270,Purchase Dusting - Residential                              ,12710.072,028093                   ,2020-09-14,2020-11-13,CR Sumit Global                                             ,P,2020-01-29,229.0
